"cid";"IUPAC Name";"SMILES"
"1";"3-acetyloxy-4-(trimethylazaniumyl)butanoate";"C[N+](C)(C)CC(CC(=O)[O-])OC(=O)C"
"2";"(2-acetyloxy-3-carboxypropyl)-trimethylazanium";"C[N+](C)(C)CC(CC(=O)O)OC(=O)C"
"3";"5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid";"O=C(O)C1=CC=CC(C1O)O"
"4";"1-aminopropan-2-ol";"C(O)(CN)C"
"5";"(3-amino-2-oxopropyl) dihydrogen phosphate";"OP(O)(=O)OCC(=O)CN"
"6";"1-chloro-2,4-dinitrobenzene";"c1(ccc(Cl)c(c1)[N+](=O)[O-])[N+]([O-])=O"
"7";"9-ethylpurin-6-amine";"c12c(N)ncnc1n(cn2)CC"
"8";"2,3-dihydroxy-3-methylpentanoic acid";"C(O)(C(O)C(CC)(C)O)=O"
"9";"(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate";"OP(O)(OC1C(O)C(O)C(C(C1O)O)O)=O"
"11";"1,2-dichloroethane";"C(CCl)Cl"
"12";"benzene-1,2,3,5-tetrol";"Oc1cc(cc(O)c1O)O"
"13";"1,2,4-trichlorobenzene";"c1(cc(ccc1Cl)Cl)Cl"
"14";"7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid";"O=C(O)CCCCCCC1C(=O)CC(C1C=CC(=O)CCCCC)O"
"15";"17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one";"C12C(C3CCC(O)C3(C)CC1)CCC1C2(CCC(=O)C1)C"
"16";"1,8-diazacyclotetradecane-2,9-dione";"C1CCNC(=O)CCCCCNC(=O)CC1"
"17";"2,3-dihydropyridine-2,6-dicarboxylic acid";"O=C(O)C1=NC(CC=C1)C(=O)O"
"18";"4,5,6-trihydroxy-2,3-dioxohexanoic acid";"C(CO)(O)C(O)C(C(=O)C(O)=O)=O"
"19";"2,3-dihydroxybenzoic acid";"c1ccc(O)c(O)c1C(=O)O"
"20";"3-(2,3-dihydroxyphenyl)propanoic acid";"c1c(CCC(=O)O)c(O)c(O)cc1"
"21";"2-ethyl-2-hydroxy-3-oxobutanoic acid";"CC(C(C(O)=O)(O)CC)=O"
"22";"2-hydroxy-2-methyl-3-oxobutanoic acid";"CC(C(C)(O)C(O)=O)=O"
"23";"2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid";"C(=CC(C(O)=O)=C(N)C(=O)O)C=O"
"24";"2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one";"C12N=C(N)NC(=O)C1N(O)C(C(O)N2O)(C(C(CO)O)O)O"
"26";"1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione";"CC(=O)C(=O)C1=NC2C(N=C(N)NC2=O)N(O)C1O"
"28";"2-aminohexa-2,4-dienedioic acid";"OC(=O)C=CC=C(N)C(O)=O"
"29";"2-amino-3-oxopropanoic acid";"NC(C=O)C(=O)O"
"30";"2-amino-6-oxohexa-2,4-dienoic acid";"C(C=O)=CC=C(N)C(O)=O"
"31";"(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate";"OP(O)(OCC(O)C(CO)(O)C)=O"
"32";"buta-1,3-diene-1,1,4-tricarboxylic acid";"C(=O)(O)C(C(=O)O)=CC=CC(=O)O"
"33";"2-chloroacetaldehyde";"O=CCCl"
"34";"2-chloroethanol";"C(CCl)O"
"35";"2-(2-chloro-5-oxofuran-2-yl)acetic acid";"O1C(C=CC1=O)(Cl)CC(=O)O"
"36";"2-hydroxy-3-propan-2-ylbutanedioic acid";"CC(C)C(C(O)C(O)=O)C(=O)O"
"37";"4,5,6-trihydroxy-2-oxohexanoic acid";"C(O)(CO)C(CC(C(O)=O)=O)O"
"38";"4-hydroxy-3,3-dimethyl-2-oxobutanoic acid";"CC(C)(C(C(O)=O)=O)CO"
"39";"4,4-dimethyloxolane-2,3-dione";"CC1(C)C(=O)C(OC1)=O"
"40";"6-(hydroxymethyl)oxane-2,4,5-triol";"C1C(C(C(OC1O)CO)O)O"
"41";"(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate";"OP(O)(=O)OC=C(C(=O)CCSC)O"
